Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
0642f7b6f9c40a9edee626fc52745dd1d08a56c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06787c4745ce6a5d891de26f4bb0143949e983f7,1,1,2,0.918295834,3,0,146,0,0,0,0,285,2.20E-05,0,0
068d847a711f330cdcf893b0273bbce0248f3bbf,1,1,1,0,14,2,280,0,1,13625,1,424,3.62E-05,0,1
06c42ffc23daaf49859ce3585e7783dec833ed89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06d701be5a84fbe61db75d50ead9d29ed3f042e1,1,1,5,1.564546954,78,0,244,0,0,0,0,350,2.35E-05,0,1
06fac98fd7612fb1059fb44778fd4e5a626ecf46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0723491c7698e772e2e746edcac6e0271718e9a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0730467f6e6d32243e7360cbb7f35faad9793338,1,1,1,0,1,1,732,1,1,145,1,307,2.08E-05,0,0
0781654822a0f6f4dc61972c61cf16f103915850,1,1,1,0,1,1,81,1,1,521,1,140,1.88E-05,0,1
07843775ef24955f42df18bd26f1f218a85e6344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
079566714560de3fac3400762a3988557a7f4eec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07b363fefb485d162ddb4b261a938a79b9f5d272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07b4dc09865193e3b3ac43203c28378cec38deb4,1,1,1,0,4,2,37,0,1,2117,1,365,1.95E-05,0,0
07c3d348396055ffbe07b4cb44b760ac90cb0b4a,1,1,1,0,63,31,158,1,2,98204,1,152,2.62E-05,0,1
07c52ff9db5b60ca62f50ab93435b4a3df9d7232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07ca4f2cc781476748d4ed02a66301f25a1d4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07f9b02fb5ee5cd601d1802510e99404eb121556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
082dd48040c42a9994106a99cfb6a44086587b60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08319ef2b8cc07e121e09ea19cd36a50e249f657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0846dccf063f201772edb3604f693aa829e81e18,1,1,2,0.995727452,44,8,112,0,1,40226.5,2,140,2.21E-05,0,1
0887c0b56dd22e0c3ca85834f3d156b348cffde3,1,1,1,0,1,0,25,0,0,0,0,269,2.32E-05,0,0
0889f930fca541611a9b30e07c8675c3570ca4c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08bd3b6b3164d2d092b20e4aa784e8e98930cd3d,1,1,1,0,4,0,273,0,0,0,0,415,1.71E-05,0,0
08d7a27f0cb911ee0acaf0d0c33b96c048e3450b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08e2da041c836988197e7aeba6b63c4712a77863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08e67215017851c1e120ee2cd2b37459552cb5c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08f3fb1a0364e1b992ec84825aeb990a229723b9,1,1,1,0,13,1,60,0,1,13759,1,146,3.49E-05,0,0
08f752eb77afb19358147aa09786e329c96bb49c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08fa8f7e9eb4891561641d79fba4400872b88631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08fcf91d60a7b6a46a04f83849c1926b474b52d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09080882c41b64f28773c2a0c66df805ca78f223,1,1,1,0,4,0,6,0,0,0,0,69,2.37E-05,0,0
090d64215a3aaed7c36f005eb047cb881d2448a0,1,1,2,0.600608575,37,4,623,0,2,70168,2,49,6.19E-05,0,1
0933159c16c637e4a24a5483e2f4e3cfe44a6b2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
093efdc4b49cfbe59d5750b9b08f2581eb3dbf8f,1,1,3,0.244175634,60,0,27,0,0,0,0,63,2.09E-05,0,0
096e5112b3ee041471f996bf5eb83f6a0034e027,1,1,2,0.322756959,16,1,110,0,1,2329,1,86,3.39E-05,0,0
09af7608cf74471cfc9660fb7d40fa3987198a32,1,1,1,0,11,1,37,0,0,0,0,239,2.74E-05,0,1
09b6e175833c49cd23af26e5877fa4084ce3a94f,1,1,1,0,2,1,347,1,1,35959,1,55,4.62E-05,0,0
09f162b39dc39f162748791f44285f581dd9894d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a6fe49a4e5b36b10cc6e9d65756701deaa050e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aaa81ce619233939cc039ae8c6413c313035c52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aab4423675d0b24e96a5a62701a542ef7f875ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aba33a1862cf7b842f844d31903bce76ed7daef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0abe8f28c16ba160e089d35774b81f7fad17fb59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ae1a0a6f817859b2b09b920a9fb9447c80c9a0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0afdd5000c515674fcfb83afc25c7f0b7894c245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b223b9204f8252da723d3b49d07b59647d6d41e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b519b4e4c44e940db634dc2478d6c5abd0fe003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b7b4ff508c80a592a7add5dcdcade6dc481b3a6,1,1,4,1.675454947,85,0,7,0,0,0,0,1,0.000366593,0,1
0b8299febe014409c2edd1077467af86b27257cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b9e3b28b051286c16b8b8aeac739544295a47d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bcfe33d7e0dac21bf290aabe31d46573b747eb7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bd36ba3205bdf4bc28c0fc944eb30854039727e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c03d6dc15983f786f8caf8070cd3e412750fc8e,1,1,1,0,1,0,26,1,0,0,0,436,3.20E-05,0,0
0c2e214094f96b5cae5c24ea24d2a27b04eec441,1,1,1,0,1,1,64,1,1,2140,1,187,1.70E-05,0,0
0c3c55104b536eccf16c36f474c3537e7b891bba,1,1,1,0,4,1,552,1,1,60361,1,210,1.60E-05,0,0
0c514a9d866f3d6250f30ae3fbf085582cbd7306,1,1,1,0,24,1,8,0,1,83692,1,284,1.73E-05,0,1
0c69cc9f11bcb29e88b1267ecc27e4f13e3ffed6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c74e48c9c7353fcb0117a43b2ffbe92b34bd9fa,1,1,5,0.913581406,333,0,5,0,0,0,0,25,5.70E-05,0,1
0c802c9a92f5cc2fb40a7953a52a73540c5d944f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cb22e664584b90fad58aa7b15e1590afff32028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ccf1071256370d944841ebfffc85867f66a4d56,1,1,1,0,3,0,28,0,0,0,0,233,2.02E-05,0,0
0cdf452ac945161a1bb07d126cba4166fde131ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cffdf1d6197241ee3a8b7e919b23d474fe0cb4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d24fbac7123f51e74075eff7a92f87215ba53a1,1,1,1,0,2,0,31,0,0,0,0,205,2.48E-05,0,0
0d272a541a1789fbeb2455bca638859568432b47,1,1,1,0,3,0,228,0,0,0,0,186,2.10E-05,0,0
0d47e0c101798fcbca93cd8fe5360e0744a145a8,1,1,2,0.918295834,3,0,372,1,0,0,0,457,2.02E-05,0,1
0d618af3b7dc544ac8b12cd1df89af283c5462da,1,1,4,1.375587221,69,2,97,0,1,3942,1,289,3.61E-05,0,1
0d688b5a086e6198fbfdaaef55ed1746812eeeb5,1,1,1,0,64,2,181,0,1,76296,1,225,1.89E-05,0,1
0d6d6d517bb516fbd9d420437206a6a4382fbc44,1,1,1,0,4,0,359,0,0,0,0,56,3.52E-05,0,0
0d7ff49f97bb391c49536a376fac8a6210b807ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0dcd139b87916ec16e5fdc0d7c40f1c71190d73a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0dd80f95b56f0a1c2b10037bb39bb3a3b0503da4,1,1,1,0,4,0,51,0,0,0,0,107,3.13E-05,0,0
0de7bab4992fb2fc7b9eb1e83adc4bc9618fbf48,1,1,1,0,8,1,337,0,1,69924,1,85,1.71E-05,0,0
0e05108df9ba0f0766b202529a106f6882f5a85b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e0a9967e94cd8070e7aed12bd8dc9163d30184b,1,1,3,0.951400855,60,0,76,0,0,0,0,141,2.48E-05,0,1
0e3960c6cf3f549cc7e5d3846589523f94ae8b77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e615da90decd600fbd1433521584390b3db0e58,1,1,9,2.369735702,83,4,107,0,2,10446.5,4,429,3.63E-05,0,1
0e88a5c92be4744a5735b5b6cd377997cda8e3b7,1,1,1,0,6,0,271,0,0,0,0,338,2.12E-05,0,1
0eaefbb7627bfaf326d9ad28b93b4c59128b7ae5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ed82e0814bc4ecfc3b10d97c203382e479d549f,1,1,1,0,1,1,335,1,1,843,1,41,2.53E-05,0,1
0eee191b55e9d56b36f6531e06b6020ddf5412a1,1,1,1,0,7,1,178,0,1,21640,1,465,3.62E-05,0,0
0eff02e966cd91de3e4f67cb603a770bfe46619e,1,1,1,0,1,1,376,1,1,9339,1,65,4.07E-05,0,0
0f03417a505e9bbb18c580145d278f63d0bbc10d,1,1,1,0,0,3,9,0,1,470,1,68,4.02E-05,0,0
0f59b26a905c7982d5ca10786497dce0970278d1,1,1,1,0,1,0,21,0,0,0,0,169,2.61E-05,0,1
0f5e4daa4490b64a12cdbee916e1bdc6a475141a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fba5b2fcf90aed30e5552aa433957bedf3c2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fe7512c4aac18f7848e403ac97ad5f715bcfa84,1,1,1,0,1,1,65,1,1,1453,1,16,2.27E-05,0,0
101bd4f3e50bb7c578eea3f56f30e53a6c1435a1,1,1,4,0.741684756,23,1,461,1,1,3322,1,162,1.83E-05,0,0
1024a318672739a34fd969580f97e0634e4865cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106e3c0cb0c27b48edb9fc5e4e288e7337e0efe0,1,1,1,0,8,2,99,0,1,92026,1,170,2.00E-05,0,0
107b4ce373e5a69c388d69f218e07471995f3f71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10a32bac52e178942ba8e5612111119040114a12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10b1480d668c13975cc0921eb5c57b34fec844d2,1,1,1,0,0,86,435,1,1,3642,1,33,4.81E-05,0,0
10bca591d154eb658d6a9cb6a3d371b6d3ed5ff3,1,1,3,0.915859062,38,3,53,1,1,1832,1,243,2.99E-05,0,1
10ed3f8e6742ed7fa205458c3d4131f0f6f9d503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10f7c60a14c5b2502f02b9fa04b0bfcc15c38ec5,1,1,2,0.322756959,19,15,508,0,1,45682,2,203,1.71E-05,0,0
10fc51cef469fc26180f64c5a5c1bc1d511d3627,1,1,2,0.398459274,30,8,174,0,1,32320,1,356,2.12E-05,0,1
115cf510bb33fc00747877c81fbc5eff7dbb6655,1,1,2,0.970950594,8,2,149,0,1,65065,1,263,1.76E-05,0,0
11acc61e3eb8034755d1a8a51325b7b5ba3f1946,1,1,1,0,48,0,37,0,0,0,0,72,2.67E-05,0,0
11ed92ae3531f24993e4dade28a7ec39e1049162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11fb8578473c7428c7595cc9f864aff723b0b7a1,1,1,1,0,13,1,538,1,1,33273,1,204,2.55E-05,0,0
11fe14364bc80444a486caf41a01b22123b2b206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12105eb72fc4123f843b9a1dd1035fe152d0dcf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122d6655e5e22219075ec50da05260bec1f4b3d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12323322a832e09926264d7a4986493c860c1aad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239b33bba8faaa485d378c44eafefef0a268517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256b7eb7f19fb3d4807b3cd1b861503920c4bff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12717bd1be371f6225353029db7f7153f5f68611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12a698b96d4d665e55598aaad15b2a964bcef15a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12b665cd08746dd4593f6e1eebef6c6dcdbc9357,1,1,2,0.192531055,96,39,363,0,4,57424.5,2,154,3.23E-05,0,1
12ba81196e7848a7358382b25adf5d071023a918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12f84a2b4aca604e6a56fc2f48f9c2106c8b3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130975f2519f6215f434c5bbd6c6da8ac8b2ae51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131cd7142a8829398bfb52abc792ace5b94b23dc,1,1,1,0,2,2,101,0,1,5403,1,42,2.10E-05,0,1
1321d2713ccdc8013bbcec7546e4e4acfa4cbc75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13404785112b1db09203662effe231974ce8b7bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134c27ede9125cf87663683b530f9db65d93955b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13a4b3064ab85a9b860f6b2e93b587daa841df78,1,1,1,0,12,0,93,0,0,0,0,301,2.84E-05,0,1
13b6eb440b4a3bb3f9a4bcba48249ba348281519,1,1,1,0,5,9,30,0,0,0,0,52,1.58E-05,0,0
13ce1fec98a7c03cad6a2526bc64196a8410571b,1,1,1,0,24,0,2,0,0,0,0,328,1.57E-05,0,0
13dc0e1cc2e98270adc789c70279c61e40a66e1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ddcaa9e94257445c8bd7a761971cac0d264c46,1,1,3,1.167436723,59,17,357,0,1,109928,2,169,2.10E-05,0,1
14004512a3e92c8a99cb1a6fd43bc41ea35cc9e4,1,1,1,0,18,0,1,0,0,0,0,96,3.32E-05,0,0
1417e132da2f5a17434f8a66d448f8e3d1b842a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143cf5f5dd93a25e74160fffddf5cd037256cd42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144416e51a90a05bccd643060aa885f838846161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148cdd3a80dc634c1ead90fb827f6dabf66661da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491ae2ccc8372213f619e9ac6be66013e23f3e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497b64595babae7cea22bac9a812e10fb04d25f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14b0fffc44e08ab519a98eef3514dd6e10923509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14c78f4bc88d8af48cc624f1aed9c9503d17075d,1,1,2,0.249882293,23,1,380,0,1,4105,1,407,2.68E-05,0,0
14e03ce235f2d42b7f9bba90a8ce7eff2752921e,1,1,2,0.605186577,28,26,513,1,3,254271,2,21,1.66E-05,0,0
14eccba6125268f374ad1c9bce0c892492de7311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510bfae19800efed03961aaf5fb9b73c59176ca,1,1,2,0.522559375,26,8,345,0,1,56168,1,5,1.84E-05,0,1
1540b0a5d1f1bb88fe37d4de0972f7a136311b2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15798c1eea37aa390072d4cb5d1d7c727c1c8f86,1,1,1,0,3,4,334,1,1,93965,1,48,4.83E-05,0,0
158eafd6a6dccc2efe4e8e8c2a3d317f0b544ea9,1,1,2,0.213579815,37,22,311,0,2,21343,2,126,3.29E-05,0,1
15b25e2586b7e9b1334c7ae85773e6982d0a75e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15f8fb79b48f67f83909c42df9ca96012051ed13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16042e88444858cc5478eb22d6ff2c93c3180f8f,1,1,8,1.971850721,95,3,220,0,2,9879.666667,3,287,2.89E-05,0,1
1626e8150ecc80af0a6b300ab6e7503aa91a3744,1,1,2,0.881290899,7,3,675,1,1,77471,1,211,3.68E-05,0,0
165e8439a27b3a506454b3d7214f3fba730cd6e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16680b0bc0a7ff9e65e0cff262cc7f2f64b1cc65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687f96c62ca151c795d6db29d6f670baef4ff6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168abf191f31294c9b8468d36efbc2c60216710e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16b739e05a5d27c8f3c3e7ca535eb6f40740c0d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16bfda9258ce65efde432f87aecf048421ba5934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16e414f0c69151d575d1d87a9aa5a039568d3e20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16e9d21177c982288f1ba36b33c805ca979c47b4,1,1,2,0.749595257,14,0,107,0,0,0,0,112,3.84E-05,0,1
1711c9a707634d241f020ec59f87b0a7b5299f1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17190acd031620e3cae712cbdd4068b985f29101,1,1,1,0,15,17,246,1,2,101232,1,173,2.23E-05,0,0
17196e2625d885f093eded7de6c2f540c3fb5102,1,1,1,0,5,3,225,0,2,132349,1,186,1.92E-05,0,0
171a24f77bfeb184bf11603df6521a21508ba790,1,1,2,0.975119065,16,11,114,0,2,5709,2,301,3.20E-05,0,1
17272fd961acc681bf79c08ebe2801e7a3cce410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177260109a242b51a891397b96aa7bbdbdc13f76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177c4ca7e646dea7988e63bd56b97029596ac3fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17925dc63674be30b136c3f3aa9c172157a806fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17cb4e82229d41dc352399c04615054523647e67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17e594199cac3511f6c9a7f88a44c53d29e78e6a,1,1,2,0.468995594,10,10,53,1,1,3288,1,330,2.84E-05,0,1
17eb68904a1e41fb7eddeda73ab42f7abeb1471a,1,1,1,0,2,2,327,0,1,48,1,156,3.77E-05,0,0
18145d8c99fc76fe52400935cfaecfce4b79e314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182bccdce345b302b2176029738193440e5467ba,1,1,1,0,6,0,94,0,0,0,0,213,2.07E-05,0,0
18383bf3fe25ee9af2b9f4ddd2a4dd9f31110b36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843346f27c63329dacb6d48dd8e9fb81db168bb,1,1,1,0,13,2,78,1,1,1764,1,259,3.29E-05,0,0
1852b3c3675e0e379be9bfef33b3eff1316f2abe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18550348cf37a3e394d09681230ebda979739f8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18564add15861f20f28251cc50f00fc75184d69f,1,1,1,0,0,4,61,1,1,2793,1,13,8.11E-05,0,0
1859635ffc1fdfd240a7825dd4dced12eca69681,1,1,2,0.321608108,186,19,687,0,2,188706,1,188,3.42E-05,0,1
186b79519517c94450d2283bd49f39f18789d433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187144ffe6ceadd9aed6b1944eb6b28cf23e7c37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18b348e9d924e0f9d92e2a105863c552218d8fcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18c5f0e36367c802cdd68b30a1c2f26098da156b,1,1,1,0,1,1,334,1,1,14711,1,46,3.36E-05,0,0
18e4a65b6e0e7240c9dafeb8131f96121445c132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926426e7bc78c2d1a5d246a10495a515a5768e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928b878a9ac4bbf788e554db1df192c2376c31a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974ae3ba3f21d72e393f71a2b0289a2b90dd8a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197ffd2d273627b50949c6d0205245be5c48568d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19c3ca154b13027e535018b6e657abc1f5c7ee7f,1,1,2,0.439496987,17,5,85,1,1,72714,2,86,1.53E-05,0,1
19f0478c0c84fb87be4533742d8d6a70587c7e32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
