Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
267941221b91c4c4e8368faf493df7e18356d3ed,1,1,4,1.262898496,80,7,7277,0,1,13831,1,60,3.91E-05,0,0
0364fd2aaa8e737287fbfa57fb5b1b6412eb0eea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f716b19bec61eb8729aee125c0a3f38f8d0b46f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78e817ce63bd2acbc0c4c62d9f276f30a92b5be6,1,1,1,0,15,5,3911,1,3,30908,1,256,3.60E-05,0,0
30a8d25192339c0f3e2b8f066d08e6d89c0f4e90,1,1,1,0,0,5,733,0,1,14343,1,10,2.64E-05,0,0
6bcbb19b63b74e427c715e94ecce5fa0c29079d5,1,1,3,0.063067808,6,804,1,0,22,4968558,1,9,2.43E-05,0,0
f623c155e3033a14e69cf31f8457fe956a0e4ee1,1,1,1,0,6,4601,4603,1,1,2459,1,255,1.86E-05,0,0
78202e307dcf06733ba01467cc61f40f83d3c613,1,1,5,0.01403927,525,8169,9189,0,32,32793178,1,8,1.84E-05,0,0
caf92a122b08a2bedb071abc632752f38af59b3c,1,1,1,0,0,0,0,0,0,0,0,7,1.73E-05,0,0
46cb8c829ba58c93d3dc05d0ce30a3e54b5e18b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504370ea89646e29552489a2e849775c0c47b29d,1,1,1,0,0,0,0,0,0,0,0,7,1.73E-05,0,0
460c191d7ac157ada1b9721beb1b86bebb0618dc,1,1,1,0,0,0,0,0,0,0,0,7,1.73E-05,0,0
1d541482f7750ea265c313c06b8dec30fff374a9,1,1,1,0,4602,0,1,1,0,0,0,254,1.71E-05,0,1
0e880c33b874aa541e724636f977304b3386717d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f0afa37d1b0e8772929d0b613f4da7d52cca0ee0,1,1,3,1.402081403,23,11,4041,0,3,181242,1,3,1.65E-05,0,0
c4fef015e812c0078811b8ecc88274ac9a657314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
092dcb1199a0a96662c7f9def94c6a8bdfc93f64,1,1,3,1.404075413,23,8,4026,0,1,17771,1,2,4.07E-05,0,0
3e82f6336b875fc9b70bceb2dba4823f160111b0,1,1,2,0.439496987,11,0,935,0,0,0,0,59,3.98E-05,0,0
9464a43b4ae6002dfd529865f6aca43dec3d27a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2226e4e14cb19767585d87fc342e9b7444b0987b,1,1,1,0,0,3,34,1,0,0,0,58,1.97E-05,0,0
3f89fed9c76b826b1fe8bc219a0cdcde05016c2a,1,1,1,0,1,1,34,1,1,64294,1,57,1.98E-05,0,0
845696c39cd35599004321a76510588be580b5de,1,1,1,0,1,0,33,0,0,0,0,56,3.96E-05,0,0
93f8a9793c6afe4ea9c49c264df6d2c70dec0320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d2ae05e0060d8af6275169dd68456c5e96213c4,1,1,1,0,1,1,33,1,1,1189,1,55,4.06E-05,0,1
0a2b17251902dbbcfb62e56f0feb149e2b38b034,1,1,1,0,2,0,31,1,0,0,0,54,4.12E-05,0,1
bc8d8c19a571b380ee2be28ee68ae3e6b4e3f6fd,1,1,6,1.48638679,66,3,82,1,1,9696,3,53,4.13E-05,0,0
64d3206af0f51987f5b10795c1726b231dd91edd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
034b704ae16d1edee7a8f6d638101de4c33d49d4,1,1,1,0,0,1,363,0,0,0,0,116,1.96E-05,0,0
f559165e2f57ade2211a5db982ad1f168bb26464,1,1,2,0.99107606,8,1,474,1,0,0,0,115,1.95E-05,0,0
c3fa567cd9e5f211cd202b441bf3a28c9160f720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704f6c4fbe0e38601f6362f655799b8d03566c2f,1,1,1,0,0,3,3647,0,0,0,0,52,1.66E-05,0,0
a4839dcc94ac7e52906b8775b8cb2df13ecf0149,1,1,1,0,1,1,27,0,1,40513,1,51,1.66E-05,0,0
901f2fdd3fa0ab10e9992443501f3e2cd992d5a3,1,1,3,0.816689088,12,12,3700,0,1,60549.66667,3,50,1.63E-05,0,0
fa1f6c3a486e257b836b9cf6791cfd95d6665222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a72a6c2ad5f556ab134bfc1ae765ff7fb38100f0,1,1,1,0,0,1,52,0,0,0,0,114,1.61E-05,0,0
ddfe935d4083d976c51edbe975f4197b847a95be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54a412431d7b23a30f2722c9f9759119012cd459,1,1,4,1.554065908,24,34,3737,0,1,25693,4,49,3.14E-05,0,0
6bfb27554beba9047dcff112a9bdcc44e1ca2639,1,1,1,0,1,0,114,0,0,0,0,113,3.50E-05,0,0
169b445286e155e76c674e5283905cdfdc012d43,1,1,1,0,0,1,115,0,1,9875,1,112,3.61E-05,0,0
3d12eb19cb686e07f8671ed39f734b652c381bd7,1,1,2,0.928067282,98,1,377,0,1,4881,1,111,4.14E-05,0,0
9e90bf5a90d63a182584a5bae0c5d517813e9d57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709ffeaa3338ab9f27948c4f530b2771e1b52e2e,1,1,1,0,19,15,44,1,1,6298,1,48,3.89E-05,0,0
058ef93e84baba057cb53e9a8c9fec62ed494815,1,1,1,0,3,2,82,1,1,2082,1,110,3.56E-05,0,0
e615601728d674863169f150d9877aefb309ee1f,1,1,2,0.985228136,4,3,375,1,1,930,2,109,3.28E-05,0,0
0690700ce1e1ef5171613c4ad0d9ab1320f3708e,1,1,3,1.584962501,3,3,1103,0,1,564.3333333,3,108,3.19E-05,0,0
fc5cf70d0878fa77127e12502b7adc1f67c19017,1,1,2,0.844099172,100,3,278,0,1,5149.5,2,107,3.08E-05,0,1
23c643b1e258c6eaf3bdf195cd69ced7734affa9,1,1,1,0,41,0,1,0,0,0,0,106,3.07E-05,0,0
7ea16ca62c10dd736bd18cf5feb71e361fb4464b,1,1,1,0,10,0,806,0,0,0,0,105,3.06E-05,0,0
7326dcff06b4b40c0f332f30b951dd2bcd2eaf7b,1,1,1,0,4,1,15,0,1,82068,1,104,3.04E-05,0,0
eeb49154664f920ed7c82576164559e8c45c8e9a,1,1,1,0,4,0,724,0,0,0,0,103,3.03E-05,0,0
03aa51e4163f5b8228ed9f77842cf783a51ec34d,1,1,1,0,73,0,1,1,0,0,0,47,2.72E-05,0,0
6914a2648c5538309062c7e234b51388343d1208,1,1,7,2.068978936,178,38,3938,0,3,112592.6667,3,46,2.72E-05,0,1
9e4b9d45d612f21ab2c0f3ba6d888b29fc17f2cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
